image_taken,VV,VH,RVI,location,Class_of_Land
10/03/2022,0.08986562,0.032006856,0.90207237,"(10.323727047081501, 105.2516346045924)",Rice
11/03/2022,0.050157655,0.029282877,1.1715994,"(10.323727047081501, 105.2516346045924)",Rice
22/03/2022,0.22224617,0.070374765,0.83837056,"(10.323727047081501, 105.2516346045924)",Rice
23/03/2022,0.098687015,0.03788283,0.9431923,"(10.323727047081501, 105.2516346045924)",Rice
10/03/2022,0.31582147,0.049165286,0.5012146,"(10.322364360592521, 105.27843410554115)",Rice
11/03/2022,0.106835835,0.040612362,0.9378157,"(10.322364360592521, 105.27843410554115)",Rice
22/03/2022,0.31588376,0.09978287,0.8370702,"(10.322364360592521, 105.27843410554115)",Rice
23/03/2022,0.22405428,0.04254481,0.58518773,"(10.322364360592521, 105.27843410554115)",Rice
10/03/2022,0.09442357,0.03628325,0.9437545,"(10.321455902933202, 105.25254306225168)",Rice
11/03/2022,0.051563695,0.037023257,1.2754164,"(10.321455902933202, 105.25254306225168)",Rice
22/03/2022,0.11029026,0.051044375,1.0463694,"(10.321455902933202, 105.25254306225168)",Rice
23/03/2022,0.08813988,0.03487424,0.95988345,"(10.321455902933202, 105.25254306225168)",Rice
10/03/2022,0.086235,0.04071298,1.0572944,"(10.324181275911162, 105.25118037576274)",Rice
11/03/2022,0.06156333,0.020147724,0.8561026,"(10.324181275911162, 105.25118037576274)",Rice
22/03/2022,0.11288701,0.04603998,0.97660875,"(10.324181275911162, 105.25118037576274)",Rice
23/03/2022,0.050697498,0.022920748,1.0334842,"(10.324181275911162, 105.25118037576274)",Rice
10/03/2022,0.068004124,0.025254734,0.92498624,"(10.324635504740822, 105.27389181724476)",Rice
11/03/2022,0.09082815,0.033907346,0.9278525,"(10.324635504740822, 105.27389181724476)",Rice
22/03/2022,0.19668368,0.087415166,1.0240632,"(10.324635504740822, 105.27389181724476)",Rice
23/03/2022,0.2581164,0.09067081,0.89452916,"(10.324635504740822, 105.27389181724476)",Rice
10/03/2022,0.2765044,0.050713047,0.5698703,"(10.323727047081501, 105.28070524968936)",Rice
11/03/2022,0.05933147,0.025046248,0.9956428,"(10.323727047081501, 105.28070524968936)",Rice
22/03/2022,0.20862594,0.07397701,0.8996546,"(10.323727047081501, 105.28070524968936)",Rice
23/03/2022,0.1489234,0.05557086,0.92761314,"(10.323727047081501, 105.28070524968936)",Rice
10/03/2022,0.0694255,0.027581312,0.9621241,"(10.325089733570481, 105.23937042619212)",Rice
11/03/2022,0.030409666,0.024338378,1.3252705,"(10.325089733570481, 105.23937042619212)",Rice
22/03/2022,0.07625151,0.039793145,1.1118718,"(10.325089733570481, 105.23937042619212)",Rice
23/03/2022,0.05756394,0.027982136,1.0732871,"(10.325089733570481, 105.23937042619212)",Rice
10/03/2022,0.11328756,0.02801091,0.7100225,"(10.324181275911162, 105.25390574874059)",Rice
11/03/2022,0.07303462,0.029452482,0.9703814,"(10.324181275911162, 105.25390574874059)",Rice
22/03/2022,0.14610977,0.04636549,0.839522,"(10.324181275911162, 105.25390574874059)",Rice
23/03/2022,0.08008363,0.052383803,1.229887,"(10.324181275911162, 105.25390574874059)",Rice
10/03/2022,0.07097732,0.024943937,0.8947721,"(10.321001674103542, 105.24436694331814)",Rice
11/03/2022,0.065278195,0.034415632,1.117371,"(10.321001674103542, 105.24436694331814)",Rice
22/03/2022,0.047668237,0.02070902,1.0115016,"(10.321001674103542, 105.24436694331814)",Rice
23/03/2022,0.05756507,0.040790096,1.2691077,"(10.321001674103542, 105.24436694331814)",Rice
10/03/2022,0.0821188,0.025995327,0.8382101,"(10.321001674103542, 105.2416415703403)",Rice
11/03/2022,0.066411726,0.03269821,1.0802656,"(10.321001674103542, 105.2416415703403)",Rice
22/03/2022,0.10261013,0.034531835,0.8712026,"(10.321001674103542, 105.2416415703403)",Rice
23/03/2022,0.058554284,0.036208447,1.2014146,"(10.321001674103542, 105.2416415703403)",Rice
