image_taken,VV,VH,RVI,location,Class_of_Land
03/04/2022,0.20299251,0.07390256,0.9140851,"(10.323727047081501, 105.2516346045924)",Rice
04/04/2022,0.07574126,0.019111931,0.72019964,"(10.323727047081501, 105.2516346045924)",Rice
15/04/2022,0.14912577,0.017257426,0.39277893,"(10.323727047081501, 105.2516346045924)",Rice
16/04/2022,0.123950414,0.018095724,0.4760097,"(10.323727047081501, 105.2516346045924)",Rice
27/04/2022,0.30333462,0.008176957,0.103609934,"(10.323727047081501, 105.2516346045924)",Rice
28/04/2022,0.19833495,0.007534671,0.14369297,"(10.323727047081501, 105.2516346045924)",Rice
03/04/2022,0.047769073,0.006553775,0.45253387,"(10.322364360592521, 105.27843410554115)",Rice
04/04/2022,0.058940448,0.009479443,0.51437044,"(10.322364360592521, 105.27843410554115)",Rice
15/04/2022,0.016519953,0.003606171,0.6493376,"(10.322364360592521, 105.27843410554115)",Rice
16/04/2022,0.022284133,0.006841355,0.8218455,"(10.322364360592521, 105.27843410554115)",Rice
27/04/2022,0.5175242,0.017449932,0.12832755,"(10.322364360592521, 105.27843410554115)",Rice
28/04/2022,0.40465602,0.022561204,0.20558535,"(10.322364360592521, 105.27843410554115)",Rice
03/04/2022,0.02253514,0.006150708,0.76017517,"(10.321455902933202, 105.25254306225168)",Rice
04/04/2022,0.021069517,0.006358637,0.812749,"(10.321455902933202, 105.25254306225168)",Rice
15/04/2022,0.07721837,0.007777018,0.34885126,"(10.321455902933202, 105.25254306225168)",Rice
16/04/2022,0.028283315,0.008904057,0.8352564,"(10.321455902933202, 105.25254306225168)",Rice
27/04/2022,0.43026397,0.013198296,0.11726282,"(10.321455902933202, 105.25254306225168)",Rice
28/04/2022,0.1059538,0.007044592,0.2414714,"(10.321455902933202, 105.25254306225168)",Rice
03/04/2022,0.16409788,0.049590047,0.81345963,"(10.324181275911162, 105.25118037576274)",Rice
04/04/2022,0.22949328,0.047700018,0.6263101,"(10.324181275911162, 105.25118037576274)",Rice
15/04/2022,0.075186566,0.006055296,0.28681096,"(10.324181275911162, 105.25118037576274)",Rice
16/04/2022,0.080441654,0.008672805,0.36986038,"(10.324181275911162, 105.25118037576274)",Rice
27/04/2022,0.47857842,0.017654845,0.13975638,"(10.324181275911162, 105.25118037576274)",Rice
28/04/2022,0.30702698,0.010959429,0.13546383,"(10.324181275911162, 105.25118037576274)",Rice
03/04/2022,0.07062108,0.028469775,0.970199,"(10.324635504740822, 105.27389181724476)",Rice
04/04/2022,0.11065947,0.031456653,0.7812711,"(10.324635504740822, 105.27389181724476)",Rice
15/04/2022,0.105595484,0.010184241,0.336018,"(10.324635504740822, 105.27389181724476)",Rice
16/04/2022,0.13878685,0.014683113,0.36392945,"(10.324635504740822, 105.27389181724476)",Rice
27/04/2022,0.353293,0.012045365,0.12968943,"(10.324635504740822, 105.27389181724476)",Rice
28/04/2022,0.3626432,0.015505297,0.16061507,"(10.324635504740822, 105.27389181724476)",Rice
03/04/2022,0.07812219,0.012147462,0.500749,"(10.323727047081501, 105.28070524968936)",Rice
