image_taken,VV,VH,RVI,location,Class_of_Land
01/08/2022,0.094485134,0.020887477,0.6553505,"(10.323727047081501, 105.2516346045924)",Rice
02/08/2022,0.08547764,0.011113267,0.43293598,"(10.323727047081501, 105.2516346045924)",Rice
14/08/2022,0.046614137,0.006729533,0.47171468,"(10.323727047081501, 105.2516346045924)",Rice
25/08/2022,0.14493553,0.009408531,0.236284,"(10.323727047081501, 105.2516346045924)",Rice
26/08/2022,0.14594701,0.011927063,0.29055265,"(10.323727047081501, 105.2516346045924)",Rice
01/08/2022,0.040595476,0.006055744,0.48436394,"(10.322364360592521, 105.27843410554115)",Rice
02/08/2022,0.030639147,0.005102146,0.52868354,"(10.322364360592521, 105.27843410554115)",Rice
14/08/2022,0.014917458,0.00537546,0.9084609,"(10.322364360592521, 105.27843410554115)",Rice
25/08/2022,0.13955453,0.007097951,0.18885604,"(10.322364360592521, 105.27843410554115)",Rice
26/08/2022,0.3177919,0.007184409,0.087446995,"(10.322364360592521, 105.27843410554115)",Rice
01/08/2022,0.02454274,0.005883545,0.69468385,"(10.321455902933202, 105.25254306225168)",Rice
02/08/2022,0.017162623,0.004739269,0.7661975,"(10.321455902933202, 105.25254306225168)",Rice
14/08/2022,0.018981107,0.004600328,0.7000905,"(10.321455902933202, 105.25254306225168)",Rice
25/08/2022,0.19185255,0.007412027,0.14599419,"(10.321455902933202, 105.25254306225168)",Rice
26/08/2022,0.21383367,0.008569656,0.15112959,"(10.321455902933202, 105.25254306225168)",Rice
01/08/2022,0.14322452,0.010711659,0.2684815,"(10.324181275911162, 105.25118037576274)",Rice
02/08/2022,0.0910948,0.014583616,0.5124984,"(10.324181275911162, 105.25118037576274)",Rice
14/08/2022,0.019124947,0.00400551,0.62985647,"(10.324181275911162, 105.25118037576274)",Rice
25/08/2022,0.06852015,0.007718181,0.38390523,"(10.324181275911162, 105.25118037576274)",Rice
26/08/2022,0.20566443,0.007485426,0.13798395,"(10.324181275911162, 105.25118037576274)",Rice
01/08/2022,0.040603667,0.00870721,0.64092547,"(10.324635504740822, 105.27389181724476)",Rice
02/08/2022,0.05586199,0.011033371,0.6028821,"(10.324635504740822, 105.27389181724476)",Rice
14/08/2022,0.018309029,0.004429629,0.69921833,"(10.324635504740822, 105.27389181724476)",Rice
25/08/2022,0.16749473,0.006525493,0.14715476,"(10.324635504740822, 105.27389181724476)",Rice
26/08/2022,0.12837976,0.005555593,0.16244106,"(10.324635504740822, 105.27389181724476)",Rice
01/08/2022,0.033636246,0.012263401,0.9148727,"(10.323727047081501, 105.28070524968936)",Rice
02/08/2022,0.046800233,0.005422727,0.39319637,"(10.323727047081501, 105.28070524968936)",Rice
14/08/2022,0.025681233,0.004225605,0.52372235,"(10.323727047081501, 105.28070524968936)",Rice
25/08/2022,0.10619446,0.010042128,0.33031052,"(10.323727047081501, 105.28070524968936)",Rice
