image_taken,VV,VH,RVI,location,Class_of_Land
04/12/2021,0.16120508,0.08404921,1.1113684,"(10.323727047081501, 105.2516346045924)",Rice
05/12/2021,0.2046402,0.041761298,0.61782354,"(10.323727047081501, 105.2516346045924)",Rice
10/12/2021,0.1078607,0.026061477,0.6985732,"(10.323727047081501, 105.2516346045924)",Rice
16/12/2021,0.028466392,0.003310603,0.39442474,"(10.323727047081501, 105.2516346045924)",Rice
17/12/2021,0.027197707,0.006251915,0.6741435,"(10.323727047081501, 105.2516346045924)",Rice
22/12/2021,0.07421157,0.006684811,0.31658575,"(10.323727047081501, 105.2516346045924)",Rice
28/12/2021,0.043078836,0.006128927,0.46615034,"(10.323727047081501, 105.2516346045924)",Rice
29/12/2021,0.03292877,0.006217447,0.5826733,"(10.323727047081501, 105.2516346045924)",Rice
04/12/2021,0.09824228,0.021684356,0.6546094,"(10.322364360592521, 105.27843410554115)",Rice
05/12/2021,0.061130706,0.017600685,0.7879477,"(10.322364360592521, 105.27843410554115)",Rice
10/12/2021,0.025030673,0.005918404,0.6879063,"(10.322364360592521, 105.27843410554115)",Rice
16/12/2021,0.08190107,0.008398406,0.35430214,"(10.322364360592521, 105.27843410554115)",Rice
17/12/2021,0.08491776,0.012068744,0.46575165,"(10.322364360592521, 105.27843410554115)",Rice
22/12/2021,0.013013994,0.003619406,0.7698941,"(10.322364360592521, 105.27843410554115)",Rice
28/12/2021,0.03760823,0.005209663,0.45611376,"(10.322364360592521, 105.27843410554115)",Rice
29/12/2021,0.05560611,0.004159469,0.2685236,"(10.322364360592521, 105.27843410554115)",Rice
04/12/2021,0.21969293,0.07655175,0.89011747,"(10.321455902933202, 105.25254306225168)",Rice
05/12/2021,0.11617048,0.03884482,0.867719,"(10.321455902933202, 105.25254306225168)",Rice
10/12/2021,0.15812893,0.017549278,0.37909502,"(10.321455902933202, 105.25254306225168)",Rice
16/12/2021,0.033497356,0.004486548,0.4436885,"(10.321455902933202, 105.25254306225168)",Rice
17/12/2021,0.07615697,0.007463902,0.3407287,"(10.321455902933202, 105.25254306225168)",Rice
22/12/2021,0.11231831,0.011102486,0.34325987,"(10.321455902933202, 105.25254306225168)",Rice
28/12/2021,0.08527139,0.007255824,0.3011232,"(10.321455902933202, 105.25254306225168)",Rice
29/12/2021,0.020658879,0.00380244,0.57142067,"(10.321455902933202, 105.25254306225168)",Rice
04/12/2021,0.24752603,0.052763294,0.6381055,"(10.324181275911162, 105.25118037576274)",Rice
05/12/2021,0.19171143,0.04652192,0.70070916,"(10.324181275911162, 105.25118037576274)",Rice
10/12/2021,0.1725363,0.022569068,0.43512097,"(10.324181275911162, 105.25118037576274)",Rice
16/12/2021,0.053028252,0.008349285,0.50576496,"(10.324181275911162, 105.25118037576274)",Rice
17/12/2021,0.06387362,0.010745207,0.53292114,"(10.324181275911162, 105.25118037576274)",Rice
22/12/2021,0.044372745,0.005377004,0.4082932,"(10.324181275911162, 105.25118037576274)",Rice
28/12/2021,0.05805477,0.008179059,0.4624476,"(10.324181275911162, 105.25118037576274)",Rice
29/12/2021,0.066440575,0.010770028,0.5175807,"(10.324181275911162, 105.25118037576274)",Rice
04/12/2021,0.028740369,0.008084206,0.7757769,"(10.324635504740822, 105.27389181724476)",Rice
05/12/2021,0.03498105,0.008058927,0.67522043,"(10.324635504740822, 105.27389181724476)",Rice
10/12/2021,0.02803246,0.006776401,0.69880337,"(10.324635504740822, 105.27389181724476)",Rice
16/12/2021,0.08674809,0.008571313,0.34313524,"(10.324635504740822, 105.27389181724476)",Rice
17/12/2021,0.08236748,0.010516671,0.42648494,"(10.324635504740822, 105.27389181724476)",Rice
22/12/2021,0.048864894,0.006412199,0.43626228,"(10.324635504740822, 105.27389181724476)",Rice
