image_taken,VV,VH,RVI,location,Class_of_Land
02/02/2022,0.045884196,0.020972522,1.0395004,"(10.323727047081501, 105.2516346045924)",Rice
03/02/2022,0.05637973,0.021293908,0.93425703,"(10.323727047081501, 105.2516346045924)",Rice
14/02/2022,0.02425037,0.007987231,0.8595505,"(10.323727047081501, 105.2516346045924)",Rice
15/02/2022,0.03277371,0.01868531,1.1591264,"(10.323727047081501, 105.2516346045924)",Rice
26/02/2022,0.16362368,0.03775146,0.67593986,"(10.323727047081501, 105.2516346045924)",Rice
02/02/2022,0.04176426,0.018575646,1.0244702,"(10.322364360592521, 105.27843410554115)",Rice
03/02/2022,0.047339726,0.03545532,1.2952325,"(10.322364360592521, 105.27843410554115)",Rice
14/02/2022,0.12654062,0.04558299,0.9082745,"(10.322364360592521, 105.27843410554115)",Rice
15/02/2022,0.07528924,0.03090762,0.98022205,"(10.322364360592521, 105.27843410554115)",Rice
26/02/2022,0.1128809,0.032436,0.7869068,"(10.322364360592521, 105.27843410554115)",Rice
02/02/2022,0.039145205,0.023960652,1.1961713,"(10.321455902933202, 105.25254306225168)",Rice
03/02/2022,0.048440553,0.029986663,1.2019668,"(10.321455902933202, 105.25254306225168)",Rice
14/02/2022,0.02798623,0.012043769,1.006274,"(10.321455902933202, 105.25254306225168)",Rice
15/02/2022,0.042489782,0.019454064,1.0404359,"(10.321455902933202, 105.25254306225168)",Rice
26/02/2022,0.17499174,0.04585234,0.73926747,"(10.321455902933202, 105.25254306225168)",Rice
02/02/2022,0.08999611,0.023185361,0.7306724,"(10.324181275911162, 105.25118037576274)",Rice
03/02/2022,0.097303174,0.026317742,0.75549954,"(10.324181275911162, 105.25118037576274)",Rice
14/02/2022,0.064637475,0.026512656,0.9797594,"(10.324181275911162, 105.25118037576274)",Rice
15/02/2022,0.033122584,0.02410651,1.2818321,"(10.324181275911162, 105.25118037576274)",Rice
26/02/2022,0.09347418,0.0259431,0.768824,"(10.324181275911162, 105.25118037576274)",Rice
02/02/2022,0.030750504,0.015353997,1.087909,"(10.324635504740822, 105.27389181724476)",Rice
