image_taken,VV,VH,RVI,location,Class_of_Land
09/01/2022,0.23714676,0.011730671,0.1840404,"(10.323727047081501, 105.2516346045924)",Rice
10/01/2022,0.23446636,0.01837502,0.27993414,"(10.323727047081501, 105.2516346045924)",Rice
21/01/2022,0.123641714,0.02341654,0.5840246,"(10.323727047081501, 105.2516346045924)",Rice
22/01/2022,0.17632608,0.030291976,0.5417432,"(10.323727047081501, 105.2516346045924)",Rice
09/01/2022,0.18174314,0.035586525,0.59895754,"(10.322364360592521, 105.27843410554115)",Rice
10/01/2022,0.2550042,0.038657557,0.49067846,"(10.322364360592521, 105.27843410554115)",Rice
21/01/2022,0.1343317,0.032214273,0.69485855,"(10.322364360592521, 105.27843410554115)",Rice
22/01/2022,0.5265028,0.020541037,0.14734979,"(10.322364360592521, 105.27843410554115)",Rice
09/01/2022,0.5636206,0.032124154,0.20979482,"(10.321455902933202, 105.25254306225168)",Rice
10/01/2022,0.26679066,0.03004374,0.3838203,"(10.321455902933202, 105.25254306225168)",Rice
21/01/2022,0.19777733,0.030818013,0.5015934,"(10.321455902933202, 105.25254306225168)",Rice
22/01/2022,0.111709975,0.032825768,0.79865265,"(10.321455902933202, 105.25254306225168)",Rice
09/01/2022,0.13695629,0.006533308,0.17793176,"(10.324181275911162, 105.25118037576274)",Rice
10/01/2022,0.14766526,0.004155971,0.10798736,"(10.324181275911162, 105.25118037576274)",Rice
21/01/2022,0.19144362,0.03402116,0.556175,"(10.324181275911162, 105.25118037576274)",Rice
22/01/2022,0.11118838,0.037554923,0.8731733,"(10.324181275911162, 105.25118037576274)",Rice
09/01/2022,0.48221958,0.01139166,0.09124139,"(10.324635504740822, 105.27389181724476)",Rice
10/01/2022,0.5435929,0.019559117,0.13649213,"(10.324635504740822, 105.27389181724476)",Rice
21/01/2022,0.10168256,0.024319615,0.6935421,"(10.324635504740822, 105.27389181724476)",Rice
22/01/2022,0.21141082,0.023801738,0.3837439,"(10.324635504740822, 105.27389181724476)",Rice
09/01/2022,0.38127595,0.018704781,0.18263067,"(10.323727047081501, 105.28070524968936)",Rice
10/01/2022,0.33484164,0.013645594,0.15352951,"(10.323727047081501, 105.28070524968936)",Rice
21/01/2022,0.13361283,0.025301779,0.58396846,"(10.323727047081501, 105.28070524968936)",Rice
22/01/2022,0.13439968,0.033952497,0.72077996,"(10.323727047081501, 105.28070524968936)",Rice
09/01/2022,0.1726943,0.007279855,0.1584917,"(10.325089733570481, 105.23937042619212)",Rice
10/01/2022,0.11741945,0.004440189,0.14306773,"(10.325089733570481, 105.23937042619212)",Rice
21/01/2022,0.2788572,0.014497091,0.19272724,"(10.325089733570481, 105.23937042619212)",Rice
22/01/2022,0.16021463,0.016178919,0.3496524,"(10.325089733570481, 105.23937042619212)",Rice
09/01/2022,0.18920876,0.006896703,0.13817757,"(10.324181275911162, 105.25390574874059)",Rice
