image_taken,VV,VH,RVI,location,Class_of_Land
08/07/2022,0.09147046,0.018066805,0.6028912,"(10.323727047081501, 105.2516346045924)",Rice
09/07/2022,0.23311214,0.041095067,0.55273104,"(10.323727047081501, 105.2516346045924)",Rice
21/07/2022,0.23444858,0.046333015,0.6031445,"(10.323727047081501, 105.2516346045924)",Rice
08/07/2022,0.06202386,0.023338554,0.9322091,"(10.322364360592521, 105.27843410554115)",Rice
09/07/2022,0.44655988,0.08628549,0.5929742,"(10.322364360592521, 105.27843410554115)",Rice
21/07/2022,0.029039452,0.009413149,0.8509431,"(10.322364360592521, 105.27843410554115)",Rice
08/07/2022,0.08659835,0.039335713,1.036065,"(10.321455902933202, 105.25254306225168)",Rice
09/07/2022,0.321688,0.06571566,0.61830205,"(10.321455902933202, 105.25254306225168)",Rice
21/07/2022,0.018014016,0.008007577,1.0241548,"(10.321455902933202, 105.25254306225168)",Rice
08/07/2022,0.1167504,0.023302985,0.6076596,"(10.324181275911162, 105.25118037576274)",Rice
09/07/2022,0.22146083,0.033618435,0.4912168,"(10.324181275911162, 105.25118037576274)",Rice
21/07/2022,0.22137365,0.04107117,0.57491416,"(10.324181275911162, 105.25118037576274)",Rice
08/07/2022,0.09813072,0.02306759,0.6850462,"(10.324635504740822, 105.27389181724476)",Rice
09/07/2022,0.21021137,0.04773948,0.66828287,"(10.324635504740822, 105.27389181724476)",Rice
21/07/2022,0.27577838,0.09696251,0.8950213,"(10.324635504740822, 105.27389181724476)",Rice
08/07/2022,0.11540696,0.026011776,0.6646386,"(10.323727047081501, 105.28070524968936)",Rice
09/07/2022,0.34053794,0.08891423,0.7374657,"(10.323727047081501, 105.28070524968936)",Rice
21/07/2022,0.0861427,0.024517983,0.781923,"(10.323727047081501, 105.28070524968936)",Rice
08/07/2022,0.09144871,0.035148565,0.9438867,"(10.325089733570481, 105.23937042619212)",Rice
09/07/2022,0.13644622,0.05306408,0.9503688,"(10.325089733570481, 105.23937042619212)",Rice
21/07/2022,0.2390885,0.0534173,0.6604189,"(10.325089733570481, 105.23937042619212)",Rice
08/07/2022,0.07931023,0.025766967,0.8521679,"(10.324181275911162, 105.25390574874059)",Rice
09/07/2022,0.3078783,0.029056158,0.32973844,"(10.324181275911162, 105.25390574874059)",Rice
21/07/2022,0.19183594,0.06661798,0.88826346,"(10.324181275911162, 105.25390574874059)",Rice
08/07/2022,0.113101624,0.02693988,0.6915203,"(10.321001674103542, 105.24436694331814)",Rice
09/07/2022,0.4732393,0.03363518,0.2564741,"(10.321001674103542, 105.24436694331814)",Rice
21/07/2022,0.31709313,0.112989664,0.9023272,"(10.321001674103542, 105.24436694331814)",Rice
08/07/2022,0.095858425,0.033732794,0.89549685,"(10.321001674103542, 105.2416415703403)",Rice
09/07/2022,0.16278662,0.03433824,0.6331918,"(10.321001674103542, 105.2416415703403)",Rice
21/07/2022,0.1660373,0.04367751,0.74127096,"(10.321001674103542, 105.2416415703403)",Rice
08/07/2022,0.103523254,0.025846664,0.7148806,"(10.324635504740822, 105.25572266405916",Rice
09/07/2022,0.3107398,0.041175973,0.43978888,"(10.324635504740822, 105.25572266405916",Rice
21/07/2022,0.15531756,0.034276143,0.6545252,"(10.324635504740822, 105.25572266405916",Rice
08/07/2022,0.12010533,0.040519416,0.87254065,"(10.321001674103542, 105.2334654514068)",Rice
09/07/2022,0.34914935,0.09480763,0.7575261,"(10.321001674103542, 105.2334654514068)",Rice
21/07/2022,0.03172693,0.008902768,0.7745218,"(10.321001674103542, 105.2334654514068)",Rice
08/07/2022,0.1470216,0.0419382,0.78308016,"(10.32327281825184, 105.26753261362978)",Rice
09/07/2022,0.24191517,0.09918757,0.97953737,"(10.32327281825184, 105.26753261362978)",Rice
21/07/2022,0.059564266,0.013589529,0.670505,"(10.32327281825184, 105.26753261362978)",Rice
08/07/2022,0.11421883,0.03168244,0.76852655,"(10.324181275911162, 105.28115947851899)",Rice
09/07/2022,0.2974396,0.0711737,0.693781,"(10.324181275911162, 105.28115947851899)",Rice
21/07/2022,0.07022731,0.013908451,0.6041166,"(10.324181275911162, 105.28115947851899)",Rice
08/07/2022,0.10237379,0.030066026,0.7983669,"(10.321001674103542, 105.2598107235259)",Rice
09/07/2022,0.4322095,0.037885558,0.30910236,"(10.321001674103542, 105.2598107235259)",Rice
21/07/2022,0.27694038,0.10283272,0.9249073,"(10.321001674103542, 105.2598107235259)",Rice
08/07/2022,0.06931723,0.023495505,0.8750927,"(10.32327281825184, 105.24073311268103)",Rice
09/07/2022,0.13282739,0.024295487,0.568683,"(10.32327281825184, 105.24073311268103)",Rice
21/07/2022,0.2665501,0.062274285,0.6820436,"(10.32327281825184, 105.24073311268103)",Rice
08/07/2022,0.36042768,0.079244405,0.65274614,"(10.324635504740822, 105.27843410554115)",Rice
09/07/2022,0.22428104,0.05084251,0.66740835,"(10.324635504740822, 105.27843410554115)",Rice
21/07/2022,0.07762977,0.027709568,0.9032709,"(10.324635504740822, 105.27843410554115)",Rice
08/07/2022,0.07678828,0.027236376,0.8998133,"(10.324181275911162, 105.2348281378957)",Rice
09/07/2022,0.19456287,0.031136002,0.51234055,"(10.324181275911162, 105.2348281378957)",Rice
21/07/2022,0.32478628,0.07167874,0.65454865,"(10.324181275911162, 105.2348281378957)",Rice
08/07/2022,0.10569117,0.03662912,0.8871675,"(10.321455902933202, 105.23301122257715)",Rice
09/07/2022,0.24119955,0.08428256,0.8916517,"(10.321455902933202, 105.23301122257715)",Rice
21/07/2022,0.019924315,0.005345273,0.751319,"(10.321455902933202, 105.23301122257715)",Rice
08/07/2022,0.19276053,0.07132615,0.92299247,"(10.323727047081501, 105.26026495235556)",Rice
09/07/2022,0.24701458,0.08418206,0.8780353,"(10.323727047081501, 105.26026495235556)",Rice
21/07/2022,0.08128445,0.016054906,0.602891,"(10.323727047081501, 105.26026495235556)",Rice
08/07/2022,0.080528446,0.023491528,0.79482377,"(10.325089733570481, 105.28025102085971)",Rice
09/07/2022,0.283578,0.078989945,0.77069753,"(10.325089733570481, 105.28025102085971)",Rice
21/07/2022,0.049613737,0.011062663,0.65946376,"(10.325089733570481, 105.28025102085971)",Rice
08/07/2022,0.09946938,0.027683413,0.7702567,"(10.32009321644422, 105.23210276491787)",Rice
09/07/2022,0.20898026,0.12228207,1.1727821,"(10.32009321644422, 105.23210276491787)",Rice
21/07/2022,0.028103147,0.012545269,1.0264835,"(10.32009321644422, 105.23210276491787)",Rice
08/07/2022,0.07667161,0.021538025,0.77508974,"(10.322364360592521, 105.27797987671151)",Rice
09/07/2022,0.18695043,0.08385287,1.0291063,"(10.322364360592521, 105.27797987671151)",Rice
21/07/2022,0.04683162,0.013376121,0.78375673,"(10.322364360592521, 105.27797987671151)",Rice
08/07/2022,0.08782958,0.03155879,0.9068964,"(10.32327281825184, 105.27752564788187)",Rice
09/07/2022,0.16335873,0.06241749,0.9406329,"(10.32327281825184, 105.27752564788187)",Rice
21/07/2022,0.041200913,0.008788032,0.63840175,"(10.32327281825184, 105.27752564788187)",Rice
08/07/2022,0.08981444,0.026331292,0.79744434,"(10.324635504740822, 105.2652614694816)",Rice
09/07/2022,0.4774632,0.07284231,0.49318278,"(10.324635504740822, 105.2652614694816)",Rice
21/07/2022,0.2103408,0.05053009,0.69571835,"(10.324635504740822, 105.2652614694816)",Rice
08/07/2022,0.12059433,0.032147154,0.7480497,"(10.320547445273881, 105.2266520189622)",Rice
09/07/2022,0.19310722,0.032860145,0.53772485,"(10.320547445273881, 105.2266520189622)",Rice
21/07/2022,0.06664247,0.020838464,0.8316319,"(10.320547445273881, 105.2266520189622)",Rice
08/07/2022,0.23258263,0.031455494,0.4472447,"(10.323727047081501, 105.2652614694816)",Rice
09/07/2022,0.22090822,0.059859302,0.7564449,"(10.323727047081501, 105.2652614694816)",Rice
21/07/2022,0.030172493,0.010334594,0.88077,"(10.323727047081501, 105.2652614694816)",Rice
08/07/2022,0.059046045,0.023515387,0.9634777,"(10.325089733570481, 105.23528236672536)",Rice
09/07/2022,0.13467763,0.03296444,0.70498335,"(10.325089733570481, 105.23528236672536)",Rice
21/07/2022,0.42202678,0.08126556,0.5914337,"(10.325089733570481, 105.23528236672536)",Rice
08/07/2022,0.15622708,0.042576127,0.75939757,"(10.324635504740822, 105.26798684245944)",Rice
09/07/2022,0.17603035,0.040078066,0.66950375,"(10.324635504740822, 105.26798684245944)",Rice
21/07/2022,0.04724453,0.014572569,0.8243449,"(10.324635504740822, 105.26798684245944)",Rice
08/07/2022,0.12882744,0.05406021,0.99235106,"(10.32281858942218, 105.26435301182232)",Rice
09/07/2022,0.2524524,0.07743289,0.8213548,"(10.32281858942218, 105.26435301182232)",Rice
21/07/2022,0.11565197,0.029503245,0.7257003,"(10.32281858942218, 105.26435301182232)",Rice
08/07/2022,0.08735056,0.019090917,0.64991003,"(10.325089733570481, 105.26344455416304)",Rice
09/07/2022,0.2083136,0.0258682,0.41673052,"(10.325089733570481, 105.26344455416304)",Rice
21/07/2022,0.47961444,0.12724024,0.74559593,"(10.325089733570481, 105.26344455416304)",Rice
08/07/2022,0.08601515,0.021372758,0.7124837,"(10.323727047081501, 105.24572962980707)",Rice
09/07/2022,0.33929664,0.044792935,0.43844032,"(10.323727047081501, 105.24572962980707)",Rice
21/07/2022,0.2822544,0.08253109,0.7960523,"(10.323727047081501, 105.24572962980707)",Rice
08/07/2022,0.051024698,0.025060523,1.0789216,"(10.324635504740822, 105.2334654514068)",Rice
09/07/2022,0.11808586,0.037631825,0.8417969,"(10.324635504740822, 105.2334654514068)",Rice
21/07/2022,0.29434007,0.076670066,0.7362612,"(10.324635504740822, 105.2334654514068)",Rice
08/07/2022,0.06894715,0.033128265,1.066928,"(10.325089733570481, 105.23164853608824)",Rice
09/07/2022,0.1668384,0.037729703,0.6662459,"(10.325089733570481, 105.23164853608824)",Rice
21/07/2022,0.32285893,0.0651655,0.6127672,"(10.325089733570481, 105.23164853608824)",Rice
08/07/2022,0.19915628,0.041814867,0.6310157,"(10.32327281825184, 105.26571569831123)",Rice
09/07/2022,0.22348276,0.059859756,0.75049764,"(10.32327281825184, 105.26571569831123)",Rice
21/07/2022,0.024075162,0.010731037,1.0256552,"(10.32327281825184, 105.26571569831123)",Rice
08/07/2022,0.1432724,0.047367893,0.8615952,"(10.31963898761456, 105.23074007842897)",Rice
09/07/2022,0.23098013,0.11657178,1.0937327,"(10.31963898761456, 105.23074007842897)",Rice
21/07/2022,0.12667058,0.014898812,0.39819467,"(10.31963898761456, 105.23074007842897)",Rice
08/07/2022,0.09630032,0.029204201,0.81532377,"(10.320547445273881, 105.22983162076967)",Rice
09/07/2022,0.27051413,0.02707662,0.34699264,"(10.320547445273881, 105.22983162076967)",Rice
21/07/2022,0.079946235,0.021871446,0.7613804,"(10.320547445273881, 105.22983162076967)",Rice
08/07/2022,0.10163649,0.03976036,0.9536204,"(10.32281858942218, 105.28115947851899)",Rice
09/07/2022,0.35555902,0.055235043,0.5003734,"(10.32281858942218, 105.28115947851899)",Rice
21/07/2022,0.14925814,0.044532843,0.8066945,"(10.32281858942218, 105.28115947851899)",Rice
08/07/2022,0.0867193,0.024584567,0.77985716,"(10.321910131762861, 105.23028584959931)",Rice
09/07/2022,0.13772193,0.02130923,0.49877647,"(10.321910131762861, 105.23028584959931)",Rice
21/07/2022,0.13253674,0.032165226,0.70075554,"(10.321910131762861, 105.23028584959931)",Rice
08/07/2022,0.12571912,0.058965493,1.0536892,"(10.324181275911162, 105.26071918118518)",Rice
09/07/2022,0.31866494,0.098876424,0.82750505,"(10.324181275911162, 105.26071918118518)",Rice
21/07/2022,0.13134816,0.026751554,0.6169137,"(10.324181275911162, 105.26071918118518)",Rice
08/07/2022,0.06930612,0.028822746,0.98738366,"(10.325089733570481, 105.26026495235556)",Rice
09/07/2022,0.17577788,0.074905,1.0008428,"(10.325089733570481, 105.26026495235556)",Rice
21/07/2022,0.17033553,0.036340084,0.6385055,"(10.325089733570481, 105.26026495235556)",Rice
08/07/2022,0.11188828,0.04597141,0.98069346,"(10.325089733570481, 105.2448211721478)",Rice
09/07/2022,0.15693595,0.046396572,0.8018568,"(10.325089733570481, 105.2448211721478)",Rice
21/07/2022,0.27750733,0.043340873,0.50251085,"(10.325089733570481, 105.2448211721478)",Rice
08/07/2022,0.1004073,0.027879946,0.76905835,"(10.324181275911162, 105.24300425682924)",Rice
09/07/2022,0.2655344,0.034874003,0.4365702,"(10.324181275911162, 105.24300425682924)",Rice
21/07/2022,0.17239691,0.053129483,0.8238806,"(10.324181275911162, 105.24300425682924)",Rice
08/07/2022,0.08524375,0.021263318,0.7144218,"(10.32281858942218, 105.27570873256332)",Rice
09/07/2022,0.22454187,0.07119088,0.8390424,"(10.32281858942218, 105.27570873256332)",Rice
21/07/2022,0.104527794,0.030165784,0.78916925,"(10.32281858942218, 105.27570873256332)",Rice
08/07/2022,0.069561705,0.02288313,0.85888803,"(10.323727047081501, 105.28252216500792)",Rice
09/07/2022,0.36302784,0.053417724,0.47904685,"(10.323727047081501, 105.28252216500792)",Rice
21/07/2022,0.27837637,0.056299847,0.61368585,"(10.323727047081501, 105.28252216500792)",Rice
08/07/2022,0.08844554,0.04148883,1.0537633,"(10.31963898761456, 105.23937042619212)",Rice
09/07/2022,0.20114933,0.049975056,0.7124251,"(10.31963898761456, 105.23937042619212)",Rice
21/07/2022,0.20201719,0.031227203,0.49839133,"(10.31963898761456, 105.23937042619212)",Rice
08/07/2022,0.10134792,0.037179273,0.91826016,"(10.32281858942218, 105.28161370734864)",Rice
09/07/2022,0.2689535,0.042004142,0.5025033,"(10.32281858942218, 105.28161370734864)",Rice
21/07/2022,0.15060104,0.05430627,0.90884066,"(10.32281858942218, 105.28161370734864)",Rice
08/07/2022,0.12260342,0.04815189,0.9557918,"(10.324635504740822, 105.28161370734864)",Rice
09/07/2022,0.39684778,0.07466159,0.58107704,"(10.324635504740822, 105.28161370734864)",Rice
21/07/2022,0.110172726,0.021207834,0.59128475,"(10.324635504740822, 105.28161370734864)",Rice
08/07/2022,0.11550014,0.035693746,0.8253573,"(10.32327281825184, 105.26117341001483)",Rice
09/07/2022,0.25348133,0.0482919,0.58665967,"(10.32327281825184, 105.26117341001483)",Rice
21/07/2022,0.18329486,0.053560916,0.79571426,"(10.32327281825184, 105.26117341001483)",Rice
08/07/2022,0.083938606,0.025632976,0.8190171,"(10.32327281825184, 105.2788883343708)",Rice
09/07/2022,0.33169252,0.080717534,0.7021046,"(10.32327281825184, 105.2788883343708)",Rice
21/07/2022,0.049342975,0.01192141,0.698535,"(10.32327281825184, 105.2788883343708)",Rice
08/07/2022,0.101769865,0.017881917,0.55132145,"(10.324181275911162, 105.2516346045924)",Rice
09/07/2022,0.34115753,0.045912776,0.44543695,"(10.324181275911162, 105.2516346045924)",Rice
21/07/2022,0.1920162,0.029925628,0.5016646,"(10.324181275911162, 105.2516346045924)",Rice
08/07/2022,0.13122869,0.035054937,0.7491165,"(10.323727047081501, 105.23982465502175)",Rice
09/07/2022,0.2879299,0.10654106,0.92299175,"(10.323727047081501, 105.23982465502175)",Rice
21/07/2022,0.16553952,0.032317612,0.59761643,"(10.323727047081501, 105.23982465502175)",Rice
08/07/2022,0.0869515,0.01779192,0.61905783,"(10.31963898761456, 105.23028584959931)",Rice
09/07/2022,0.24885082,0.035308,0.4651156,"(10.31963898761456, 105.23028584959931)",Rice
21/07/2022,0.17802486,0.04098627,0.67489994,"(10.31963898761456, 105.23028584959931)",Rice
08/07/2022,0.16640969,0.058329567,0.8933459,"(10.32327281825184, 105.28706445330431)",Rice
09/07/2022,0.22032806,0.060538713,0.76362044,"(10.32327281825184, 105.28706445330431)",Rice
21/07/2022,0.047029115,0.010124862,0.64278066,"(10.32327281825184, 105.28706445330431)",Rice
08/07/2022,0.054581206,0.021571388,0.95925176,"(10.324181275911162, 105.27752564788187)",Rice
09/07/2022,0.40871722,0.069684155,0.53853863,"(10.324181275911162, 105.27752564788187)",Rice
