image_taken,VV,VH,RVI,location,Class_of_Land
02/06/2022,0.037555393,0.016006818,1.0009525,"(10.323727047081501, 105.2516346045924)",Rice
03/06/2022,0.04136286,0.025360443,1.1970321,"(10.323727047081501, 105.2516346045924)",Rice
14/06/2022,0.09604052,0.038556617,0.96790427,"(10.323727047081501, 105.2516346045924)",Rice
15/06/2022,0.13002488,0.04181228,0.8466452,"(10.323727047081501, 105.2516346045924)",Rice
26/06/2022,0.115922265,0.022242578,0.58983725,"(10.323727047081501, 105.2516346045924)",Rice
27/06/2022,0.063957915,0.026875893,0.99311316,"(10.323727047081501, 105.2516346045924)",Rice
02/06/2022,0.038664438,0.020069756,1.1089741,"(10.322364360592521, 105.27843410554115)",Rice
03/06/2022,0.058069725,0.019114234,0.85921365,"(10.322364360592521, 105.27843410554115)",Rice
14/06/2022,0.09742413,0.048278876,1.0837963,"(10.322364360592521, 105.27843410554115)",Rice
15/06/2022,0.14609663,0.045159478,0.82547903,"(10.322364360592521, 105.27843410554115)",Rice
26/06/2022,0.07103766,0.027683316,0.95149887,"(10.322364360592521, 105.27843410554115)",Rice
27/06/2022,0.08788718,0.032445043,0.9217183,"(10.322364360592521, 105.27843410554115)",Rice
02/06/2022,0.050330386,0.019830735,0.957567,"(10.321455902933202, 105.25254306225168)",Rice
03/06/2022,0.04016149,0.018971452,1.0575995,"(10.321455902933202, 105.25254306225168)",Rice
14/06/2022,0.11519167,0.044852804,0.9510407,"(10.321455902933202, 105.25254306225168)",Rice
15/06/2022,0.10235885,0.031249471,0.8188703,"(10.321455902933202, 105.25254306225168)",Rice
26/06/2022,0.079062074,0.037421003,1.0586814,"(10.321455902933202, 105.25254306225168)",Rice
27/06/2022,0.059990358,0.026035195,1.0109283,"(10.321455902933202, 105.25254306225168)",Rice
02/06/2022,0.04523754,0.01754467,0.9488548,"(10.324181275911162, 105.25118037576274)",Rice
03/06/2022,0.046482198,0.015374336,0.8618294,"(10.324181275911162, 105.25118037576274)",Rice
14/06/2022,0.10039207,0.03607655,0.9069545,"(10.324181275911162, 105.25118037576274)",Rice
15/06/2022,0.082188085,0.03786438,1.0438514,"(10.324181275911162, 105.25118037576274)",Rice
26/06/2022,0.105352886,0.035609342,0.87356055,"(10.324181275911162, 105.25118037576274)",Rice
27/06/2022,0.0715161,0.023942731,0.8683832,"(10.324181275911162, 105.25118037576274)",Rice
02/06/2022,0.05754727,0.02535387,1.0192386,"(10.324635504740822, 105.27389181724476)",Rice
03/06/2022,0.106202096,0.023009688,0.6457792,"(10.324635504740822, 105.27389181724476)",Rice
14/06/2022,0.055391815,0.02727143,1.0802444,"(10.324635504740822, 105.27389181724476)",Rice
15/06/2022,0.06891601,0.033091113,1.066561,"(10.324635504740822, 105.27389181724476)",Rice
26/06/2022,0.09496149,0.03423871,0.9087751,"(10.324635504740822, 105.27389181724476)",Rice
27/06/2022,0.11128553,0.02556398,0.6738185,"(10.324635504740822, 105.27389181724476)",Rice
02/06/2022,0.042901866,0.02324753,1.1321033,"(10.323727047081501, 105.28070524968936)",Rice
03/06/2022,0.04386989,0.014291292,0.85362065,"(10.323727047081501, 105.28070524968936)",Rice
14/06/2022,0.105976455,0.07969014,1.2970855,"(10.323727047081501, 105.28070524968936)",Rice
15/06/2022,0.09702369,0.04192383,1.008518,"(10.323727047081501, 105.28070524968936)",Rice
26/06/2022,0.09433882,0.034547262,0.9172967,"(10.323727047081501, 105.28070524968936)",Rice
27/06/2022,0.06568674,0.02635444,0.9675633,"(10.323727047081501, 105.28070524968936)",Rice
02/06/2022,0.05373666,0.029125474,1.1322286,"(10.325089733570481, 105.23937042619212)",Rice
03/06/2022,0.050902706,0.034626704,1.2493048,"(10.325089733570481, 105.23937042619212)",Rice
14/06/2022,0.066698544,0.025959482,0.95080096,"(10.325089733570481, 105.23937042619212)",Rice
15/06/2022,0.0810376,0.055574156,1.2532682,"(10.325089733570481, 105.23937042619212)",Rice
26/06/2022,0.08764313,0.024869204,0.7803341,"(10.325089733570481, 105.23937042619212)",Rice
27/06/2022,0.09545081,0.03236976,0.87536293,"(10.325089733570481, 105.23937042619212)",Rice
02/06/2022,0.05737124,0.015090915,0.74123484,"(10.324181275911162, 105.25390574874059)",Rice
03/06/2022,0.0648409,0.018277923,0.7768949,"(10.324181275911162, 105.25390574874059)",Rice
14/06/2022,0.04919104,0.016676638,0.8751912,"(10.324181275911162, 105.25390574874059)",Rice
15/06/2022,0.03885942,0.02512583,1.224077,"(10.324181275911162, 105.25390574874059)",Rice
26/06/2022,0.10913241,0.026015105,0.69191116,"(10.324181275911162, 105.25390574874059)",Rice
27/06/2022,0.08787567,0.026445659,0.8112558,"(10.324181275911162, 105.25390574874059)",Rice
02/06/2022,0.05440401,0.02612381,1.0665791,"(10.321001674103542, 105.24436694331814)",Rice
03/06/2022,0.057977866,0.03226692,1.1463453,"(10.321001674103542, 105.24436694331814)",Rice
14/06/2022,0.06817858,0.055261105,1.3308262,"(10.321001674103542, 105.24436694331814)",Rice
15/06/2022,0.12705071,0.03639619,0.785307,"(10.321001674103542, 105.24436694331814)",Rice
26/06/2022,0.09626388,0.03560534,0.9227661,"(10.321001674103542, 105.24436694331814)",Rice
27/06/2022,0.19349656,0.04622534,0.69297117,"(10.321001674103542, 105.24436694331814)",Rice
02/06/2022,0.042970154,0.024929572,1.1683049,"(10.321001674103542, 105.2416415703403)",Rice
03/06/2022,0.04254084,0.02481963,1.171253,"(10.321001674103542, 105.2416415703403)",Rice
14/06/2022,0.03916314,0.015104901,0.9458024,"(10.321001674103542, 105.2416415703403)",Rice
15/06/2022,0.04043237,0.024635738,1.1938173,"(10.321001674103542, 105.2416415703403)",Rice
26/06/2022,0.07354889,0.030239888,0.981076,"(10.321001674103542, 105.2416415703403)",Rice
27/06/2022,0.07255868,0.022863494,0.83574414,"(10.321001674103542, 105.2416415703403)",Rice
02/06/2022,0.04409887,0.023814559,1.1302714,"(10.324635504740822, 105.25572266405916",Rice
03/06/2022,0.040122237,0.015297712,0.93946344,"(10.324635504740822, 105.25572266405916",Rice
14/06/2022,0.11282382,0.03423681,0.8156598,"(10.324635504740822, 105.25572266405916",Rice
15/06/2022,0.1312028,0.05094038,0.94945496,"(10.324635504740822, 105.25572266405916",Rice
26/06/2022,0.09126394,0.04088885,1.0284897,"(10.324635504740822, 105.25572266405916",Rice
27/06/2022,0.07597231,0.030992618,0.97675085,"(10.324635504740822, 105.25572266405916",Rice
