image_taken,VV,VH,RVI,location,Class_of_Land
09/05/2022,0.2021439,0.021973802,0.3724614,"(10.323727047081501, 105.2516346045924)",Rice
10/05/2022,0.27895963,0.032374043,0.3937209,"(10.323727047081501, 105.2516346045924)",Rice
21/05/2022,0.0979734,0.018921325,0.59275234,"(10.323727047081501, 105.2516346045924)",Rice
22/05/2022,0.107674256,0.038340475,0.9019416,"(10.323727047081501, 105.2516346045924)",Rice
09/05/2022,0.18294278,0.016998716,0.3252965,"(10.322364360592521, 105.27843410554115)",Rice
10/05/2022,0.24151385,0.032389212,0.44415653,"(10.322364360592521, 105.27843410554115)",Rice
21/05/2022,0.1766862,0.03571034,0.6133864,"(10.322364360592521, 105.27843410554115)",Rice
22/05/2022,0.13382483,0.021021627,0.5048272,"(10.322364360592521, 105.27843410554115)",Rice
09/05/2022,0.1968061,0.021010457,0.366757,"(10.321455902933202, 105.25254306225168)",Rice
10/05/2022,0.19099118,0.034203794,0.5595036,"(10.321455902933202, 105.25254306225168)",Rice
21/05/2022,0.091225475,0.024252592,0.74666697,"(10.321455902933202, 105.25254306225168)",Rice
22/05/2022,0.06962336,0.024644546,0.89869535,"(10.321455902933202, 105.25254306225168)",Rice
09/05/2022,0.3185669,0.027719857,0.3071125,"(10.324181275911162, 105.25118037576274)",Rice
10/05/2022,0.3661281,0.02639802,0.2598035,"(10.324181275911162, 105.25118037576274)",Rice
21/05/2022,0.11459926,0.0327714,0.7843851,"(10.324181275911162, 105.25118037576274)",Rice
22/05/2022,0.124338746,0.0231388,0.5762556,"(10.324181275911162, 105.25118037576274)",Rice
09/05/2022,0.2893092,0.029887583,0.35656944,"(10.324635504740822, 105.27389181724476)",Rice
10/05/2022,0.44280663,0.03355275,0.27163962,"(10.324635504740822, 105.27389181724476)",Rice
21/05/2022,0.09344289,0.027723614,0.8037281,"(10.324635504740822, 105.27389181724476)",Rice
22/05/2022,0.14319691,0.028537001,0.60694736,"(10.324635504740822, 105.27389181724476)",Rice
09/05/2022,0.18547675,0.03165402,0.5389538,"(10.323727047081501, 105.28070524968936)",Rice
10/05/2022,0.10169828,0.039473757,0.9492973,"(10.323727047081501, 105.28070524968936)",Rice
21/05/2022,0.09134816,0.032639723,0.90383154,"(10.323727047081501, 105.28070524968936)",Rice
22/05/2022,0.122041784,0.036644023,0.81004715,"(10.323727047081501, 105.28070524968936)",Rice
09/05/2022,0.44603837,0.016611679,0.14102,"(10.325089733570481, 105.23937042619212)",Rice
