image_taken,VV,VH,RVI,location,Class_of_Land
05/11/2022,0.0726624,0.03272495,1.031362,"(10.323727047081501, 105.2516346045924)",Rice
06/11/2022,0.17264421,0.065600224,0.9375775,"(10.323727047081501, 105.2516346045924)",Rice
17/11/2022,0.1247701,0.020849174,0.530122,"(10.323727047081501, 105.2516346045924)",Rice
18/11/2022,0.02677556,0.010748874,0.96787906,"(10.323727047081501, 105.2516346045924)",Rice
29/11/2022,0.046078958,0.00641142,0.45776862,"(10.323727047081501, 105.2516346045924)",Rice
30/11/2022,0.08691322,0.005885582,0.24551542,"(10.323727047081501, 105.2516346045924)",Rice
05/11/2022,0.08467267,0.04944589,1.1717327,"(10.322364360592521, 105.27843410554115)",Rice
06/11/2022,0.07411309,0.059620827,1.3275261,"(10.322364360592521, 105.27843410554115)",Rice
17/11/2022,0.02701193,0.006078793,0.66388947,"(10.322364360592521, 105.27843410554115)",Rice
18/11/2022,0.015644608,0.006070201,0.9490987,"(10.322364360592521, 105.27843410554115)",Rice
29/11/2022,0.012282533,0.004427795,0.90868634,"(10.322364360592521, 105.27843410554115)",Rice
30/11/2022,0.019009449,0.004606796,0.70004743,"(10.322364360592521, 105.27843410554115)",Rice
05/11/2022,0.16862322,0.07537323,1.0272131,"(10.321455902933202, 105.25254306225168)",Rice
06/11/2022,0.20581517,0.0724153,0.8954101,"(10.321455902933202, 105.25254306225168)",Rice
17/11/2022,0.026989343,0.00631583,0.68284017,"(10.321455902933202, 105.25254306225168)",Rice
18/11/2022,0.024395855,0.006895977,0.77833635,"(10.321455902933202, 105.25254306225168)",Rice
29/11/2022,0.044765335,0.007486685,0.5304761,"(10.321455902933202, 105.25254306225168)",Rice
30/11/2022,0.05183041,0.003614499,0.25212038,"(10.321455902933202, 105.25254306225168)",Rice
05/11/2022,0.0764162,0.027143324,0.90059733,"(10.324181275911162, 105.25118037576274)",Rice
06/11/2022,0.06560957,0.039746493,1.1908392,"(10.324181275911162, 105.25118037576274)",Rice
17/11/2022,0.17382649,0.021647776,0.41773114,"(10.324181275911162, 105.25118037576274)",Rice
18/11/2022,0.10485276,0.014448415,0.4541539,"(10.324181275911162, 105.25118037576274)",Rice
29/11/2022,0.07883223,0.00668555,0.30023715,"(10.324181275911162, 105.25118037576274)",Rice
30/11/2022,0.041593775,0.004821308,0.3933239,"(10.324181275911162, 105.25118037576274)",Rice
05/11/2022,0.12857509,0.05026453,0.9532447,"(10.324635504740822, 105.27389181724476)",Rice
06/11/2022,0.14670216,0.05859312,0.9650647,"(10.324635504740822, 105.27389181724476)",Rice
17/11/2022,0.044027593,0.008997779,0.6184894,"(10.324635504740822, 105.27389181724476)",Rice
18/11/2022,0.032625515,0.009388567,0.7876725,"(10.324635504740822, 105.27389181724476)",Rice
29/11/2022,0.15211117,0.010704612,0.25419486,"(10.324635504740822, 105.27389181724476)",Rice
30/11/2022,0.13161856,0.011866297,0.3168288,"(10.324635504740822, 105.27389181724476)",Rice
05/11/2022,0.1264454,0.04484806,0.89979595,"(10.323727047081501, 105.28070524968936)",Rice
