image_taken,VV,VH,RVI,location,Class_of_Land
01/10/2022,0.048695132,0.028974561,1.1815232,"(10.323727047081501, 105.2516346045924)",Rice
12/10/2022,0.08376248,0.035202205,0.993179,"(10.323727047081501, 105.2516346045924)",Rice
13/10/2022,0.055652402,0.025805147,1.0473969,"(10.323727047081501, 105.2516346045924)",Rice
24/10/2022,0.14058629,0.030688213,0.6493278,"(10.323727047081501, 105.2516346045924)",Rice
25/10/2022,0.054201864,0.031006578,1.1609058,"(10.323727047081501, 105.2516346045924)",Rice
01/10/2022,0.054910555,0.03105418,1.154855,"(10.322364360592521, 105.27843410554115)",Rice
12/10/2022,0.05254155,0.032652374,1.2039634,"(10.322364360592521, 105.27843410554115)",Rice
13/10/2022,0.051248215,0.035205323,1.2541039,"(10.322364360592521, 105.27843410554115)",Rice
24/10/2022,0.08904739,0.03093729,0.88851374,"(10.322364360592521, 105.27843410554115)",Rice
25/10/2022,0.05879888,0.044917207,1.3043318,"(10.322364360592521, 105.27843410554115)",Rice
01/10/2022,0.028089128,0.01817698,1.2244933,"(10.321455902933202, 105.25254306225168)",Rice
12/10/2022,0.13438769,0.035585508,0.7446329,"(10.321455902933202, 105.25254306225168)",Rice
13/10/2022,0.060503244,0.029060448,1.0667279,"(10.321455902933202, 105.25254306225168)",Rice
24/10/2022,0.110659644,0.04389388,0.96125853,"(10.321455902933202, 105.25254306225168)",Rice
25/10/2022,0.05354116,0.034144435,1.2171144,"(10.321455902933202, 105.25254306225168)",Rice
01/10/2022,0.06565404,0.01998764,0.81738085,"(10.324181275911162, 105.25118037576274)",Rice
12/10/2022,0.05561752,0.021950237,0.9584802,"(10.324181275911162, 105.25118037576274)",Rice
13/10/2022,0.05373287,0.025964266,1.0700203,"(10.324181275911162, 105.25118037576274)",Rice
24/10/2022,0.119617976,0.037619904,0.8347186,"(10.324181275911162, 105.25118037576274)",Rice
25/10/2022,0.060881596,0.028130097,1.0454509,"(10.324181275911162, 105.25118037576274)",Rice
01/10/2022,0.07729806,0.0313405,0.9733616,"(10.324635504740822, 105.27389181724476)",Rice
12/10/2022,0.15833968,0.03793277,0.6943531,"(10.324635504740822, 105.27389181724476)",Rice
13/10/2022,0.08727571,0.035840977,0.9804177,"(10.324635504740822, 105.27389181724476)",Rice
