image_taken,VV,VH,RVI,location,Class_of_Land
06/09/2022,0.19193454,0.032888576,0.54065496,"(10.323727047081501, 105.2516346045924)",Rice
07/09/2022,0.19622697,0.03750235,0.5880686,"(10.323727047081501, 105.2516346045924)",Rice
18/09/2022,0.097600155,0.03851737,0.95845306,"(10.323727047081501, 105.2516346045924)",Rice
19/09/2022,0.15595943,0.02842214,0.5670825,"(10.323727047081501, 105.2516346045924)",Rice
30/09/2022,0.042044148,0.016747633,0.9635879,"(10.323727047081501, 105.2516346045924)",Rice
06/09/2022,0.34024158,0.019706411,0.21291272,"(10.322364360592521, 105.27843410554115)",Rice
07/09/2022,0.26784047,0.028269121,0.36318818,"(10.322364360592521, 105.27843410554115)",Rice
18/09/2022,0.12405509,0.026441524,0.63806313,"(10.322364360592521, 105.27843410554115)",Rice
19/09/2022,0.07403541,0.029779324,0.9689605,"(10.322364360592521, 105.27843410554115)",Rice
30/09/2022,0.039908525,0.018430408,1.0451775,"(10.322364360592521, 105.27843410554115)",Rice
06/09/2022,0.15495344,0.024563923,0.508509,"(10.321455902933202, 105.25254306225168)",Rice
07/09/2022,0.25085786,0.02225713,0.31240988,"(10.321455902933202, 105.25254306225168)",Rice
18/09/2022,0.100221366,0.029390216,0.7975854,"(10.321455902933202, 105.25254306225168)",Rice
19/09/2022,0.06255982,0.031611927,1.0944042,"(10.321455902933202, 105.25254306225168)",Rice
30/09/2022,0.04241322,0.014547041,0.88151,"(10.321455902933202, 105.25254306225168)",Rice
06/09/2022,0.22464268,0.028293094,0.42166853,"(10.324181275911162, 105.25118037576274)",Rice
07/09/2022,0.21217859,0.02296751,0.3711231,"(10.324181275911162, 105.25118037576274)",Rice
18/09/2022,0.1321137,0.02829507,0.64032805,"(10.324181275911162, 105.25118037576274)",Rice
19/09/2022,0.15688314,0.022740662,0.4732661,"(10.324181275911162, 105.25118037576274)",Rice
30/09/2022,0.07218026,0.023634898,0.85639006,"(10.324181275911162, 105.25118037576274)",Rice
06/09/2022,0.20030004,0.030565044,0.49327394,"(10.324635504740822, 105.27389181724476)",Rice
07/09/2022,0.21988142,0.019764999,0.3160055,"(10.324635504740822, 105.27389181724476)",Rice
18/09/2022,0.071310714,0.025238937,0.898633,"(10.324635504740822, 105.27389181724476)",Rice
19/09/2022,0.13429081,0.03173713,0.68766826,"(10.324635504740822, 105.27389181724476)",Rice
30/09/2022,0.066075265,0.015926428,0.6973705,"(10.324635504740822, 105.27389181724476)",Rice
06/09/2022,0.1552793,0.03609105,0.6795233,"(10.323727047081501, 105.28070524968936)",Rice
07/09/2022,0.30557677,0.043067697,0.4625915,"(10.323727047081501, 105.28070524968936)",Rice
18/09/2022,0.10019648,0.034795683,0.88827765,"(10.323727047081501, 105.28070524968936)",Rice
19/09/2022,0.097728506,0.032907967,0.8715154,"(10.323727047081501, 105.28070524968936)",Rice
30/09/2022,0.054057073,0.027075779,1.0896126,"(10.323727047081501, 105.28070524968936)",Rice
06/09/2022,0.37353042,0.012174076,0.12424443,"(10.325089733570481, 105.23937042619212)",Rice
07/09/2022,0.22288741,0.011468815,0.19090028,"(10.325089733570481, 105.23937042619212)",Rice
18/09/2022,0.16082153,0.043398347,0.75432456,"(10.325089733570481, 105.23937042619212)",Rice
19/09/2022,0.14365275,0.034705203,0.69851035,"(10.325089733570481, 105.23937042619212)",Rice
30/09/2022,0.09155754,0.027137827,0.80321443,"(10.325089733570481, 105.23937042619212)",Rice
06/09/2022,0.1447117,0.041723423,0.7886787,"(10.324181275911162, 105.25390574874059)",Rice
07/09/2022,0.17391215,0.024821414,0.46735257,"(10.324181275911162, 105.25390574874059)",Rice
18/09/2022,0.052960653,0.03342139,1.211786,"(10.324181275911162, 105.25390574874059)",Rice
19/09/2022,0.10427911,0.022088243,0.63513714,"(10.324181275911162, 105.25390574874059)",Rice
30/09/2022,0.038853366,0.012386813,0.84201133,"(10.324181275911162, 105.25390574874059)",Rice
06/09/2022,0.40054443,0.0211765,0.19575001,"(10.321001674103542, 105.24436694331814)",Rice
07/09/2022,0.53280795,0.023722958,0.16683236,"(10.321001674103542, 105.24436694331814)",Rice
18/09/2022,0.099983476,0.047717497,1.063229,"(10.321001674103542, 105.24436694331814)",Rice
19/09/2022,0.17606162,0.024068056,0.4511969,"(10.321001674103542, 105.24436694331814)",Rice
30/09/2022,0.06132417,0.021885606,0.90317696,"(10.321001674103542, 105.24436694331814)",Rice
06/09/2022,0.3893103,0.010856714,0.10703958,"(10.321001674103542, 105.2416415703403)",Rice
07/09/2022,0.17631663,0.008728446,0.18417354,"(10.321001674103542, 105.2416415703403)",Rice
18/09/2022,0.09465101,0.03775404,0.9643377,"(10.321001674103542, 105.2416415703403)",Rice
19/09/2022,0.2177437,0.033467997,0.49613822,"(10.321001674103542, 105.2416415703403)",Rice
30/09/2022,0.2257809,0.016783888,0.26702657,"(10.321001674103542, 105.2416415703403)",Rice
06/09/2022,0.14549515,0.03228854,0.65719587,"(10.324635504740822, 105.25572266405916",Rice
07/09/2022,0.15874793,0.036466822,0.6738186,"(10.324635504740822, 105.25572266405916",Rice
18/09/2022,0.07631976,0.024293693,0.8411781,"(10.324635504740822, 105.25572266405916",Rice
19/09/2022,0.109977014,0.027300602,0.7120058,"(10.324635504740822, 105.25572266405916",Rice
30/09/2022,0.0484738,0.020749161,1.0033184,"(10.324635504740822, 105.25572266405916",Rice
06/09/2022,0.15923114,0.034684375,0.6483194,"(10.321001674103542, 105.2334654514068)",Rice
07/09/2022,0.18628307,0.027444184,0.47952047,"(10.321001674103542, 105.2334654514068)",Rice
18/09/2022,0.1653488,0.032296397,0.59784037,"(10.321001674103542, 105.2334654514068)",Rice
19/09/2022,0.19287378,0.032793365,0.5373782,"(10.321001674103542, 105.2334654514068)",Rice
30/09/2022,0.065072015,0.024546437,0.9335755,"(10.321001674103542, 105.2334654514068)",Rice
06/09/2022,0.19912578,0.026354408,0.43935385,"(10.32327281825184, 105.26753261362978)",Rice
07/09/2022,0.20576683,0.02928353,0.4662617,"(10.32327281825184, 105.26753261362978)",Rice
18/09/2022,0.08111629,0.030537728,0.9324794,"(10.32327281825184, 105.26753261362978)",Rice
19/09/2022,0.0736065,0.025469633,0.8863132,"(10.32327281825184, 105.26753261362978)",Rice
30/09/2022,0.0635304,0.024436912,0.94431114,"(10.32327281825184, 105.26753261362978)",Rice
06/09/2022,0.18614717,0.029352851,0.5063694,"(10.324181275911162, 105.28115947851899)",Rice
07/09/2022,0.24620931,0.034639712,0.46193105,"(10.324181275911162, 105.28115947851899)",Rice
18/09/2022,0.07782754,0.029541919,0.93700993,"(10.324181275911162, 105.28115947851899)",Rice
19/09/2022,0.09048766,0.03509809,0.9489156,"(10.324181275911162, 105.28115947851899)",Rice
30/09/2022,0.051658332,0.021757642,0.9943887,"(10.324181275911162, 105.28115947851899)",Rice
06/09/2022,0.43170908,0.027053796,0.2288239,"(10.321001674103542, 105.2598107235259)",Rice
07/09/2022,0.40871948,0.02018239,0.18374196,"(10.321001674103542, 105.2598107235259)",Rice
18/09/2022,0.09853349,0.028318169,0.7869966,"(10.321001674103542, 105.2598107235259)",Rice
19/09/2022,0.20906056,0.02617658,0.4196141,"(10.321001674103542, 105.2598107235259)",Rice
30/09/2022,0.04089016,0.014056743,0.88275313,"(10.321001674103542, 105.2598107235259)",Rice
06/09/2022,0.26876953,0.02054278,0.273753,"(10.32327281825184, 105.24073311268103)",Rice
07/09/2022,0.26940995,0.017638283,0.2381172,"(10.32327281825184, 105.24073311268103)",Rice
18/09/2022,0.13016318,0.02949924,0.66728413,"(10.32327281825184, 105.24073311268103)",Rice
19/09/2022,0.13441713,0.03371229,0.71715003,"(10.32327281825184, 105.24073311268103)",Rice
30/09/2022,0.09198691,0.03886963,0.99618554,"(10.32327281825184, 105.24073311268103)",Rice
06/09/2022,0.20897916,0.03286295,0.5052661,"(10.324635504740822, 105.27843410554115)",Rice
07/09/2022,0.18870579,0.025498273,0.4469118,"(10.324635504740822, 105.27843410554115)",Rice
18/09/2022,0.07195444,0.026414277,0.918633,"(10.324635504740822, 105.27843410554115)",Rice
19/09/2022,0.086540096,0.023670489,0.761274,"(10.324635504740822, 105.27843410554115)",Rice
30/09/2022,0.049170192,0.027729446,1.1533622,"(10.324635504740822, 105.27843410554115)",Rice
06/09/2022,0.47997686,0.025013728,0.19316287,"(10.324181275911162, 105.2348281378957)",Rice
07/09/2022,0.43507442,0.030929413,0.25652468,"(10.324181275911162, 105.2348281378957)",Rice
18/09/2022,0.17300852,0.029515024,0.53879505,"(10.324181275911162, 105.2348281378957)",Rice
19/09/2022,0.19632524,0.023615934,0.40578258,"(10.324181275911162, 105.2348281378957)",Rice
30/09/2022,0.071676746,0.018069679,0.71973705,"(10.324181275911162, 105.2348281378957)",Rice
06/09/2022,0.16253449,0.027314056,0.5324858,"(10.321455902933202, 105.23301122257715)",Rice
07/09/2022,0.16680895,0.027095586,0.51842535,"(10.321455902933202, 105.23301122257715)",Rice
18/09/2022,0.08353735,0.027416427,0.8576262,"(10.321455902933202, 105.23301122257715)",Rice
19/09/2022,0.15016018,0.01672206,0.38019988,"(10.321455902933202, 105.23301122257715)",Rice
30/09/2022,0.04200469,0.023007762,1.1378589,"(10.321455902933202, 105.23301122257715)",Rice
06/09/2022,0.22066003,0.045475192,0.62236166,"(10.323727047081501, 105.26026495235556)",Rice
07/09/2022,0.22029611,0.030117467,0.4512269,"(10.323727047081501, 105.26026495235556)",Rice
18/09/2022,0.09610875,0.03139646,0.85512626,"(10.323727047081501, 105.26026495235556)",Rice
19/09/2022,0.08953882,0.026229756,0.7970286,"(10.323727047081501, 105.26026495235556)",Rice
30/09/2022,0.07776236,0.032615174,0.9920724,"(10.323727047081501, 105.26026495235556)",Rice
06/09/2022,0.25825897,0.022462975,0.30700147,"(10.325089733570481, 105.28025102085971)",Rice
07/09/2022,0.18237558,0.042933784,0.68576235,"(10.325089733570481, 105.28025102085971)",Rice
18/09/2022,0.09424632,0.026426256,0.7741319,"(10.325089733570481, 105.28025102085971)",Rice
19/09/2022,0.16360013,0.032396287,0.60405266,"(10.325089733570481, 105.28025102085971)",Rice
30/09/2022,0.038857087,0.031583287,1.3320482,"(10.325089733570481, 105.28025102085971)",Rice
06/09/2022,0.15366027,0.046814136,0.8177666,"(10.32009321644422, 105.23210276491787)",Rice
07/09/2022,0.1424087,0.044867817,0.83567655,"(10.32009321644422, 105.23210276491787)",Rice
18/09/2022,0.1008286,0.026316518,0.73727703,"(10.32009321644422, 105.23210276491787)",Rice
19/09/2022,0.15421273,0.02514099,0.51992047,"(10.32009321644422, 105.23210276491787)",Rice
30/09/2022,0.043139294,0.009875517,0.67214125,"(10.32009321644422, 105.23210276491787)",Rice
06/09/2022,0.30259803,0.02630612,0.30686387,"(10.322364360592521, 105.27797987671151)",Rice
07/09/2022,0.252573,0.039669935,0.50477624,"(10.322364360592521, 105.27797987671151)",Rice
18/09/2022,0.07706007,0.03482732,1.0332919,"(10.322364360592521, 105.27797987671151)",Rice
19/09/2022,0.11633353,0.037643544,0.84999996,"(10.322364360592521, 105.27797987671151)",Rice
30/09/2022,0.03612355,0.015051926,0.9884494,"(10.322364360592521, 105.27797987671151)",Rice
06/09/2022,0.1190239,0.023563595,0.6039437,"(10.32327281825184, 105.27752564788187)",Rice
07/09/2022,0.21291456,0.02364341,0.37928566,"(10.32327281825184, 105.27752564788187)",Rice
18/09/2022,0.056467228,0.027823703,1.0806918,"(10.32327281825184, 105.27752564788187)",Rice
19/09/2022,0.100294955,0.03055443,0.8177418,"(10.32327281825184, 105.27752564788187)",Rice
30/09/2022,0.05357696,0.015629873,0.79484236,"(10.32327281825184, 105.27752564788187)",Rice
06/09/2022,0.24728806,0.031040588,0.42048898,"(10.324635504740822, 105.2652614694816)",Rice
07/09/2022,0.27635828,0.03110536,0.38365495,"(10.324635504740822, 105.2652614694816)",Rice
18/09/2022,0.058482647,0.029258013,1.0889727,"(10.324635504740822, 105.2652614694816)",Rice
19/09/2022,0.08463467,0.02736112,0.8495041,"(10.324635504740822, 105.2652614694816)",Rice
30/09/2022,0.031052377,0.017159762,1.1425732,"(10.324635504740822, 105.2652614694816)",Rice
06/09/2022,0.30690682,0.016475132,0.1985265,"(10.320547445273881, 105.2266520189622)",Rice
07/09/2022,0.299031,0.011984409,0.1511339,"(10.320547445273881, 105.2266520189622)",Rice
18/09/2022,0.07534186,0.032123502,1.0011481,"(10.320547445273881, 105.2266520189622)",Rice
19/09/2022,0.17168479,0.04120783,0.69528794,"(10.320547445273881, 105.2266520189622)",Rice
30/09/2022,0.08812158,0.023799408,0.7547446,"(10.320547445273881, 105.2266520189622)",Rice
06/09/2022,0.11849941,0.03115514,0.74099094,"(10.323727047081501, 105.2652614694816)",Rice
07/09/2022,0.15018861,0.04240473,0.77773374,"(10.323727047081501, 105.2652614694816)",Rice
18/09/2022,0.09000029,0.034103334,0.9360566,"(10.323727047081501, 105.2652614694816)",Rice
19/09/2022,0.08029075,0.02329144,0.7918838,"(10.323727047081501, 105.2652614694816)",Rice
30/09/2022,0.05266687,0.02166457,0.9813411,"(10.323727047081501, 105.2652614694816)",Rice
06/09/2022,0.35726172,0.0220348,0.22552468,"(10.325089733570481, 105.23528236672536)",Rice
07/09/2022,0.33569053,0.025093414,0.26836047,"(10.325089733570481, 105.23528236672536)",Rice
18/09/2022,0.17400615,0.02076182,0.40302446,"(10.325089733570481, 105.23528236672536)",Rice
19/09/2022,0.20679283,0.026844643,0.43238598,"(10.325089733570481, 105.23528236672536)",Rice
30/09/2022,0.069582455,0.026183467,0.9322246,"(10.325089733570481, 105.23528236672536)",Rice
06/09/2022,0.17521833,0.02608031,0.4835053,"(10.324635504740822, 105.26798684245944)",Rice
07/09/2022,0.21133168,0.020151434,0.33271262,"(10.324635504740822, 105.26798684245944)",Rice
18/09/2022,0.058913,0.027010692,1.0411946,"(10.324635504740822, 105.26798684245944)",Rice
19/09/2022,0.08749568,0.030374428,0.88808775,"(10.324635504740822, 105.26798684245944)",Rice
30/09/2022,0.041786324,0.017902728,1.0038164,"(10.324635504740822, 105.26798684245944)",Rice
06/09/2022,0.1771,0.035749055,0.6128106,"(10.32281858942218, 105.26435301182232)",Rice
07/09/2022,0.11771527,0.043566007,0.9230989,"(10.32281858942218, 105.26435301182232)",Rice
18/09/2022,0.12041058,0.027722,0.67490244,"(10.32281858942218, 105.26435301182232)",Rice
19/09/2022,0.10682979,0.02758263,0.73178375,"(10.32281858942218, 105.26435301182232)",Rice
30/09/2022,0.07889727,0.027748892,0.89519733,"(10.32281858942218, 105.26435301182232)",Rice
06/09/2022,0.45952693,0.027937824,0.22258364,"(10.325089733570481, 105.26344455416304)",Rice
07/09/2022,0.2838274,0.028410137,0.34700266,"(10.325089733570481, 105.26344455416304)",Rice
18/09/2022,0.07858442,0.027898844,0.9003106,"(10.325089733570481, 105.26344455416304)",Rice
19/09/2022,0.08250246,0.04703822,1.1591377,"(10.325089733570481, 105.26344455416304)",Rice
30/09/2022,0.05719309,0.027744876,1.0721653,"(10.325089733570481, 105.26344455416304)",Rice
06/09/2022,0.3080354,0.009985977,0.12361363,"(10.323727047081501, 105.24572962980707)",Rice
07/09/2022,0.2584663,0.015029851,0.21369275,"(10.323727047081501, 105.24572962980707)",Rice
18/09/2022,0.11126354,0.022701155,0.6177302,"(10.323727047081501, 105.24572962980707)",Rice
19/09/2022,0.14517297,0.028767722,0.60437506,"(10.323727047081501, 105.24572962980707)",Rice
30/09/2022,0.06104899,0.018650416,0.81922865,"(10.323727047081501, 105.24572962980707)",Rice
06/09/2022,0.26031053,0.024781402,0.33224183,"(10.324635504740822, 105.2334654514068)",Rice
07/09/2022,0.30659953,0.029085597,0.33122686,"(10.324635504740822, 105.2334654514068)",Rice
18/09/2022,0.14460772,0.03269947,0.66620356,"(10.324635504740822, 105.2334654514068)",Rice
19/09/2022,0.3358803,0.027108429,0.28735375,"(10.324635504740822, 105.2334654514068)",Rice
30/09/2022,0.05413879,0.027279371,1.0928653,"(10.324635504740822, 105.2334654514068)",Rice
06/09/2022,0.55085576,0.015714517,0.10939545,"(10.325089733570481, 105.23164853608824)",Rice
07/09/2022,0.36319086,0.038409755,0.3638124,"(10.325089733570481, 105.23164853608824)",Rice
18/09/2022,0.1030243,0.029473923,0.78460795,"(10.325089733570481, 105.23164853608824)",Rice
19/09/2022,0.14867525,0.032064807,0.64361525,"(10.325089733570481, 105.23164853608824)",Rice
30/09/2022,0.054554425,0.02110032,0.94734854,"(10.325089733570481, 105.23164853608824)",Rice
06/09/2022,0.15593211,0.021951413,0.46215394,"(10.32327281825184, 105.26571569831123)",Rice
07/09/2022,0.21684292,0.03449374,0.50990486,"(10.32327281825184, 105.26571569831123)",Rice
18/09/2022,0.09696187,0.023435904,0.6987382,"(10.32327281825184, 105.26571569831123)",Rice
19/09/2022,0.11801791,0.020190455,0.5399812,"(10.32327281825184, 105.26571569831123)",Rice
30/09/2022,0.054073762,0.020998172,0.9495512,"(10.32327281825184, 105.26571569831123)",Rice
06/09/2022,0.20382601,0.03889696,0.587407,"(10.31963898761456, 105.23074007842897)",Rice
07/09/2022,0.36408886,0.052428775,0.47074234,"(10.31963898761456, 105.23074007842897)",Rice
18/09/2022,0.08655402,0.027112393,0.83257467,"(10.31963898761456, 105.23074007842897)",Rice
19/09/2022,0.22114548,0.03436783,0.50053084,"(10.31963898761456, 105.23074007842897)",Rice
30/09/2022,0.06270346,0.017058834,0.75850534,"(10.31963898761456, 105.23074007842897)",Rice
06/09/2022,0.3177884,0.021817643,0.24858433,"(10.320547445273881, 105.22983162076967)",Rice
07/09/2022,0.28256556,0.017525284,0.226676,"(10.320547445273881, 105.22983162076967)",Rice
18/09/2022,0.070465066,0.02378659,0.87286216,"(10.320547445273881, 105.22983162076967)",Rice
19/09/2022,0.11074867,0.03899311,0.8957826,"(10.320547445273881, 105.22983162076967)",Rice
30/09/2022,0.041818462,0.017107558,0.9782984,"(10.320547445273881, 105.22983162076967)",Rice
06/09/2022,0.25866553,0.032975696,0.42594138,"(10.32281858942218, 105.28115947851899)",Rice
07/09/2022,0.229495,0.031772956,0.4559057,"(10.32281858942218, 105.28115947851899)",Rice
18/09/2022,0.086298704,0.04143625,1.0665419,"(10.32281858942218, 105.28115947851899)",Rice
19/09/2022,0.17237438,0.028163226,0.52081686,"(10.32281858942218, 105.28115947851899)",Rice
30/09/2022,0.0661072,0.02052245,0.8277778,"(10.32281858942218, 105.28115947851899)",Rice
06/09/2022,0.23264852,0.020690773,0.31306392,"(10.321910131762861, 105.23028584959931)",Rice
07/09/2022,0.28905037,0.013300527,0.17204763,"(10.321910131762861, 105.23028584959931)",Rice
18/09/2022,0.09867025,0.0313765,0.8406366,"(10.321910131762861, 105.23028584959931)",Rice
19/09/2022,0.12956318,0.026808847,0.6242238,"(10.321910131762861, 105.23028584959931)",Rice
30/09/2022,0.075013496,0.019178899,0.7268246,"(10.321910131762861, 105.23028584959931)",Rice
06/09/2022,0.16364342,0.035644993,0.64831305,"(10.324181275911162, 105.26071918118518)",Rice
07/09/2022,0.19688866,0.02711064,0.45387903,"(10.324181275911162, 105.26071918118518)",Rice
18/09/2022,0.060058903,0.031032257,1.1064906,"(10.324181275911162, 105.26071918118518)",Rice
19/09/2022,0.058806814,0.034549188,1.174893,"(10.324181275911162, 105.26071918118518)",Rice
